Tweet_text,Sentiment
b'Obama Cruelly Taunted Trump in Letter Riddled with Multisyllabic Words https://t.co/stIh0Ma7mX',Negative
b'https://t.co/1ICPFDzMyM',Negative
b'RT @ChrisRBarron: Its like a Trump re-elect commercial. Thanks liberals! https://t.co/AXujIk7wNF',Positive
b'@RepGoodlatte What are you afraid of with trump/Russia??? Complicit?',Negative
"b'RT @georgefenneman: ""...and on this day of prayer, I pray that Hurricane Irma makes landfall at Mar-a-Lago while Trump is there. Amen."" htt\xe2\x80\xa6'",Negative
"b'RT @NYGovCuomo: New York will not demonize diversity. \n\nWe will not stand by as 42,000 NYers are deported. \n\nIf President Trump rescinds #D\xe2\x80\xa6'",Positive
"b'RT @KeithOlbermann: If it isn\'t ""I call for Trump\'s impeachment"" or ""I resign,"" no one is interested any longer in what you have to say, Sc\xe2\x80\xa6'",Positive
"b""@michelle_neal If the Democrats couldn't beat Trump with $1 billion spent on HRC, they can't learn anything from me.""",Negative
"b'RT @NewsTimes: Gov. Dannel Malloy called Trump\'s decision to terminate DACA ""completely nonsensical."" https://t.co/dqwRbvg6DM'",Positive
b'WHAT ELSE MUST HAPPEN BEFORE WE CAN IMPEACH TRUMP?!?  #DACA',Negative
"b'RT @Amy_Siskind: Give it a name media, and use it: Trump is a white nationalist. #maddow'",Negative
b'Living your life on the brink of hysteria from one Trump tweet to the next must be an exhausting way to live.',Negative
"b'RT @AndyRichter: This is Trump\'s guy for ""election integrity."" His ascension to nat\'l prominence is a testament to the amorality of the GOP'",Negative
"b'RT @CharlesMBlow: Donald Trump is saying in every way possible that power in America is white, straight and male and all else are targets.\xe2\x80\xa6'",Positive
b'RT @lordflaconegro: Jose? Trump definitely not letting that 1 in America https://t.co/tnFBQIt79R',Negative
